feature,mean_abs_shap
Contract,0.630808233252165
tenure,0.4426594037563852
InternetService,0.2897740669462102
OnlineSecurity,0.2065792206364833
TechSupport,0.1833778478577911
PaymentMethod,0.17094164028900521
MonthlyCharges,0.15859506334928633
PaperlessBilling,0.10538999684220517
MultipleLines,0.09144418987874646
TotalCharges,0.07909304695444394
StreamingMovies,0.07493395248846006
OnlineBackup,0.06349881124669494
StreamingTV,0.06150569315713117
Dependents,0.0363997220212176
SeniorCitizen,0.02777230463944876
gender,0.005123073911598078
PhoneService,0.0038407070625568304
Partner,0.0
DeviceProtection,0.0
